name
"Montespan, Françoise-Athénaïs de Rochechouart de Mortemart, marquise de"
"Williamson, C. N. (Charles Norris)"
"Clark, Ellery H. (Ellery Harding)"
"Clark, Ellery H. (Ellery Harding)"
"Clark, Ellery H. (Ellery Harding)"
"Freneau, Philip Morin"
"Sutphen, Van Tassel"
"Scherzer, Karl, Ritter von"
"Child, Lydia Maria"
"Montespan, Françoise-Athénaïs de Rochechouart de Mortemart, marquise de"
"Various"
"Various"
"Various"
"Herndon, William Henry"
"Herndon, William Henry"
"Newton, John, M.R.C.S.E."
"Garibaldi, Giuseppe"
"Macy, John Albert"
"Day, Lal Behari"
"Hecht, Ben"
"Montespan, Françoise-Athénaïs de Rochechouart de Mortemart, marquise de"
"Kingsley, Florence Morse"
"Various"
"Myers, F. W. H. (Frederic William Henry)"
"Pöllnitz, Karl Ludwig, Freiherr von"
"Edmonds, S. Emma E. (Sarah Emma Evelyn)"
"Buck, Charles Neville"
"Grey, Zane"
"Montespan, Françoise-Athénaïs de Rochechouart de Mortemart, marquise de"
"Bailey, Henry Turner"
"Pöllnitz, Karl Ludwig, Freiherr von"
"Unknown Author"
"Byron, May Clarissa Gillington"
"Pöllnitz, Karl Ludwig, Freiherr von"
"Vay, Péter"
"Montespan, Françoise-Athénaïs de Rochechouart de Mortemart, marquise de"
"Brunton, Mary"
"Omar Khayyam"
"D'Auvergne, Edmund B. (Edmund Basil)"
"Hayward, John, Sir"
"Various"
"Maeterlinck, Maurice"
"Woolson, Constance Fenimore"
"Pöllnitz, Karl Ludwig, Freiherr von"
"Montespan, Françoise-Athénaïs de Rochechouart de Mortemart, marquise de"
"Lowell, James Russell"
"Trevena, John"
"Stoddard, William Osborn"
"Cavendish, Georgiana Spencer, Duchess of Devonshire"
"Fleming, J. A. (John Ambrose), Sir"
"Tremayne, Eleanor E."
"Freneau, Philip Morin"
"Montespan, Françoise-Athénaïs de Rochechouart de Mortemart, marquise de"
"Spence, Lewis"
"Allen, Grant"
"O'Rell, Max"
"Edwards, H. Sutherland (Henry Sutherland)"
"Angell, Norman"
"Rivenburg, Romeyn Henry"
"Allies, T. W. (Thomas William)"
"Unknown Author"
"Various"
"Montespan, Françoise-Athénaïs de Rochechouart de Mortemart, marquise de"
"Hornibrook, Isabel"
"Cumberland, Barlow"
"Just, Gustav A."
"Cunningham, Francis"
"Crashaw, Richard"
"Orléans, Charlotte-Elisabeth, duchesse d'"
"Crashaw, Richard"
"Gilman, Charlotte Perkins"
"Unknown Author"
"Martin, George Madden"
"Streight, Abel D."
"Penrose, Margaret"
"Thwaites, Reuben Gold"
"Ross, Mary, Lady"
"Garis, Howard Roger"
"Gordon, Lina Duff"
"Orléans, Charlotte-Elisabeth, duchesse d'"
"Duffield, J. W."
"Lawrence, D. H. (David Herbert)"
"Unknown Author"
"Isle, June"
"Moore, Bernard"
"Sellar, W. Y. (William Young)"
"Alcott, Louisa May"
"Jersey, Margaret Elizabeth Leigh Child-Villiers, Countess of"
"Orléans, Charlotte-Elisabeth, duchesse d'"
"Seaman, Augusta Huiell"
"Petrovitch, Woislav M."
"Kiser, Samuel E. (Samuel Ellsworth)"
"Moberly, L. G. (Lucy Gertrude)"
"Various"
"Allen, Grant"
"Kummer, Frederic Arnold"
"Unknown Author"
"Orléans, Charlotte-Elisabeth, duchesse d'"
"Sengcan"
"Beardslee, Clark S. (Clark Smith)"
"Garnett, William"
"Wollaston, Thomas Vernon"
"Anonymous"
"Unknown Author"
"Sims, William Sowden"
"Sargent, Lucius M. (Lucius Manlius)"
"Unknown Author"
"Orléans, Charlotte-Elisabeth, duchesse d'"
"Maitland, Edward"
"Fuseli, Henry"
"Austin, Mary Hunter"
"Addison, C. G. (Charles Greenstreet)"
"Rilke, Rainer Maria"
"Van Loon, Hendrik Willem"
"Black, Helen C."
"Unknown Author"
"MacDonald, Wilson"
"Stevenson, Robert Louis"
"Saint-Simon, Louis de Rouvroy, duc de"
"Graves, Kersey"
"Bresse, J."
"Voss, Richard"
"Stoddard, William Osborn"
"Willcock, John"
"Piper, Hugh"
"Gray, W. H. (William Henry)"
"Garis, Lilian"
"Hill, Grace Brooks"
"Saint-Simon, Louis de Rouvroy, duc de"
"Standish, Burt L."
"Harper, Charles G. (Charles George)"
"Taylor, Ann"
"Anonymous"
"Mitton, G. E. (Geraldine Edith)"
"Richards, Lenore"
"Tolstoy, Leo, graf"
"Gordon, Harry"
"Brazil, Angela"
"Saint-Simon, Louis de Rouvroy, duc de"
"Unknown Author"
"Mahan, Asa"
"Various"
"Wood, Henry, Mrs."
"Wood, Henry, Mrs."
"Wood, Henry, Mrs."
"Spyri, Johanna"
"Martin, Theodore, Sir"
"Darwin, Charles"
"Saint-Simon, Louis de Rouvroy, duc de"
"Baron, David"
"Thornbury, Walter"
"Thornbury, Walter"
"Thornbury, Walter"
"Montgomery Real Estate Agents' Association, Montgomery, Ala."
"Bindloss, Harold"
"Various"
"Saint-Simon, Louis de Rouvroy, duc de"
"Woepcke, Franz"
"Unknown Author"
"Clark, John A. (John Alonzo)"
"Storm, Marian"
"Marshall, Archibald"
"Marshall, Archibald"
"Hall, Florence Howe"
"Palmer, Edward"
"Saint-Simon, Louis de Rouvroy, duc de"
"Allbut, Robert"
"Inchbald, Mrs."
"Bender, Millicent Schwab"
"Roscher, Wilhelm"
"Various"
"Anstey, F."
"Campbell, Mark, active 19th century"
"Cibber, Theophilus"
"Saint-Simon, Louis de Rouvroy, duc de"
"Miller, Thomas"
"Shorter, Clement King"
"Mason, A. E. W. (Alfred Edward Woodley)"
"Mason, A. E. W. (Alfred Edward Woodley)"
"Mason, A. E. W. (Alfred Edward Woodley)"
"Akins, Thomas B."
"Saint-Simon, Louis de Rouvroy, duc de"
"Bindloss, Harold"
"Various"
"Various"
"Roberts, Charles G. D., Sir"
"Rogers, Margaret Cobb"
"Duncker, Max"
"Mason, A. E. W. (Alfred Edward Woodley)"
"Mason, A. E. W. (Alfred Edward Woodley)"
"Saint-Simon, Louis de Rouvroy, duc de"
"Walsh, James J. (James Joseph)"
"Gill, Anna A."
"Anonymous"
"Unknown Author"
"Mason, A. E. W. (Alfred Edward Woodley)"
"Mason, A. E. W. (Alfred Edward Woodley)"
"De Gubernatis, Angelo"
"De Gubernatis, Angelo"
"Mason, A. E. W. (Alfred Edward Woodley)"
"Saint-Simon, Louis de Rouvroy, duc de"
"Tolstoy, Leo, graf"
"Cotes, Everard"
"Mason, A. E. W. (Alfred Edward Woodley)"
"Marshall, Archibald"
"Various"
"Unknown Author"
"Stevenson, Robert Louis"
"Saint-Simon, Louis de Rouvroy, duc de"
"Unknown Author"
"Various"
"Gibbs, George"
"Heyer, Georgette"
"Various"
"Saint-Simon, Louis de Rouvroy, duc de"
"Potter, Margaret Horton"
"Thorndike, Ashley Horace"
"Andrews, William"
"Strang, Herbert"
"Skiles, May Evelyn"
"Bowditch, William I. (William Ingersoll)"
"Mason, A. E. W. (Alfred Edward Woodley)"
"Mason, A. E. W. (Alfred Edward Woodley)"
"Saint-Simon, Louis de Rouvroy, duc de"
"Vine, W.E. (William Edwy)"
"Darwin, George Howard, Sir"
"Bindloss, Harold"
"Douce, Francis"
"Quigley, Margery Closey"
"Shelley, Percy Bysshe"
"Saint-Simon, Louis de Rouvroy, duc de"
"Adler, Felix"
"Richards, R. C. (Ralph Coffin)"
"Pinches, Theophilus G. (Theophilus Goldridge)"
"Lowe, Samuel E. (Samuel Edward)"
"Conybeare, John William Edward"
"Campbell, J. Duncan, (James Duncan)"
"Hobbs, Leonard S."
"Saint-Simon, Louis de Rouvroy, duc de"
"Casseday, Ben"
"Wilson, John"
"Hill, Grace Brooks"
"Hill, Grace Brooks"
"Various"
"Rosenbach, A. S. W. (Abraham Simon Wolf)"
"Bindloss, Harold"
"Unknown Author"
"Pennell, Elizabeth Robins"
"Saint-Simon, Louis de Rouvroy, duc de"
"Various"
"Unknown Author"
"Firebaugh, Ellen M."
"Kauffman, Reginald Wright"
"Unknown Author"
"Galbreath, C. B. (Charles Burleigh)"
"Inchbald, Mrs."
"Du Hausset, Mme."
"Molesworth, Mrs."
"Chamberlain, James Franklin"
"Adams, W. H. Davenport (William Henry Davenport)"
"Henty, G. A. (George Alfred)"
"Miller, Joaquin"
"Bates, Katharine Lee"
"Creswicke, Louis"
"Hardy, G. H. (Godfrey Harold)"
"Du Hausset, Mme."
"Cook, Sherburne Friend"
"Meade, L. T."
"Various"
"Bulfinch, Thomas"
"Willard, J. H. (James Hartwell)"
"James, Henry"
"Terhune, Albert Payson"
"Carlyle, Thomas"
"Lamballe, Marie Thérèse Louise de Savoie-Carignan, princesse de"
"Aksakov, S. T. (Sergei Timofeevich)"
"Hubert, Philip Gengembre"
"Brawley, Benjamin Griffith"
"Wied, Maximilian, Prinz von"
"Keightley, Thomas"
"Various"
"Various"
"Lanaghan, Mrs."
"Lanaghan, Mrs."
"Lamballe, Marie Thérèse Louise de Savoie-Carignan, princesse de"
"Fox, Frank"
"Clarke, Henry, Mrs."
"Woolson, Constance Fenimore"
"Kirkpatrick, F. A. (Frederick Alexander)"
"Various"
"Strang, Herbert"
"Hope, Anthony"
"Moodie, Susanna"
"Various"
"Churchill, Winston"
"Du Hausset, Mme."
"Ingersoll, Robert Green"
"Ingersoll, Robert Green"
"Ingersoll, Robert Green"
"Ingersoll, Robert Green"
"Ingersoll, Robert Green"
"Ingersoll, Robert Green"
"Ingersoll, Robert Green"
"Ingersoll, Robert Green"
"Ingersoll, Robert Green"
"Lamballe, Marie Thérèse Louise de Savoie-Carignan, princesse de"
"Ingersoll, Robert Green"
"Ingersoll, Robert Green"
"Ingersoll, Robert Green"
"Ingersoll, Robert Green"
"Miller, George A. (George Amos)"
"MacKenzie, Compton"
"Various"
"Smith, Mary P. Wells (Mary Prudence Wells)"
"Gilbert, Clinton W. (Clinton Wallace)"
"Lamballe, Marie Thérèse Louise de Savoie-Carignan, princesse de"
"Various"
"Riis, Jacob A. (Jacob August)"
"Turnbull, Robert"
"Clayton, H. J."
"Various"
"Waddington, Mary King"
"Read, Opie Percival"
"Bird, Isabella L. (Isabella Lucy)"
"Bird, Isabella L. (Isabella Lucy)"
"Sedding, John Dando"
"Du Hausset, Mme."
"Griggs, Sutton E. (Sutton Elbert)"
"Henderson, Robert, active 1866-1874"
"Wood, Henry, Mrs."
"Paine, Albert Bigelow"
"Whitehill, Dorothy"
"Phillips, Ethel Calvert"
"Norman, Benjamin Moore"
"Tieck, Ludwig"
"Unknown Author"
"Campan, Mme. (Jeanne-Louise-Henriette)"
"Buffalo Bill"
"Hely-Hutchinson, John"
"Sayce, A. H. (Archibald Henry)"
"Phillips, Ethel Calvert"
"Platt, William, Mrs."
"Lynde, Francis"
"Aulnoy, Madame d' (Marie-Catherine)"
"Fletcher, John Gould"
"Campan, Mme. (Jeanne-Louise-Henriette)"
"Awdelay, John, active 1559-1577"
"Wingfield, Lewis"
"Wingfield, Lewis"
"Aughey, John H. (John Hill)"
"Fletcher, John Gould"
"Fletcher, John Gould"
"Ritchie, J. Ewing (James Ewing)"
"Robbins, Edward Mott"
"Campan, Mme. (Jeanne-Louise-Henriette)"
"Edwards, Albert"
"Wingfield, Lewis"
"Wingfield, Lewis"
"Wingfield, Lewis"
"Various"
"Wingfield, Lewis"
"Werge, John, active 1854-1890"
"Field, Henry M. (Henry Martyn)"
"Campan, Mme. (Jeanne-Louise-Henriette)"
"Kingsley, Mary Henrietta"
"Weyman, Stanley John"
"Weyman, Stanley John"
"Crothers, Samuel McChord"
"Clarke, Helen Archibald"
"Wingfield, Lewis"
"Vinogradoff, Paul"
"Yeats, W. B. (William Butler)"
"Sharpe, Edmund"
"Campan, Mme. (Jeanne-Louise-Henriette)"
"Unknown Author"
"Sheets, Emily Churchill Thompson"
"Murphy, Yolanda"
"Parsons, Mary Elizabeth"
"Anonymous"
"Lynch, Lawrence L."
"Wolfe, Theodore F. (Theodore Frelinghuysen)"
"Campan, Mme. (Jeanne-Louise-Henriette)"
"Wolfe, Theodore F. (Theodore Frelinghuysen)"
"Knight, E. F. (Edward Frederick)"
"Various"
"Symons, Arthur"
"Munthe, Axel"
"Reade, Charles"
"Paine, Albert Bigelow"
"Chadwick, Lester"
"Kettle, Tom"
"Various"
"Machen, Arthur"
"Campan, Mme. (Jeanne-Louise-Henriette)"
"Murphy, John"
"Kemble, John Philip"
"Busch, Wilhelm"
"Hoskin, Arthur J. (Arthur Joseph)"
"Unknown Author"
"Andrews, William"
"McCandless, Wilson"
"Frothingham, Octavius Brooks"
"Murray, Gilbert"
"Campan, Mme. (Jeanne-Louise-Henriette)"
"Weyman, Stanley John"
"Weyman, Stanley John"
"Grolleau, Charles"
"Bithell, Jethro"
"Matthews, Brander"
"Goldsmith, Lewis"
"Hungerford, Edward"
"Harms, Louis"
"Ruskin, John"
"Various"
"Campbell, Joseph"
"M'Pherson, J. G. (John Gordon)"
"Anonymous"
"Goldsmith, Lewis"
"Centlivre, Susanna"
"Walker, Charles R. (Charles Rumford)"
"Burpee, Lawrence J. (Lawrence Johnstone)"
"Frey, Hildegard G."
"Various"
"Vincent, James Edmund"
"Johnston, Annie F. (Annie Fellows)"
"Goldsmith, Lewis"
"Marvin, Frederic Rowland"
"Drake, Samuel Adams"
"Twiss, Travers"
"Allbutt, T. Clifford (Thomas Clifford)"
"Various"
"Larson, Laurence Marcellus"
"Trow’s Printing and Bookbinding Company"
"Downs, E. C. (Edward C.)"
"Sheppard, Elizabeth Sara"
"Goldsmith, Lewis"
"Macdonald, Frederic W. (Frederic William)"
"Lower, Mark Antony"
"Various"
"Arnoux, Léon"
"Gibson, W. Hamilton (William Hamilton)"
"Various"
"Sclater, Philip Lutley"
"Hudson, W. H. (William Henry)"
"Chambers, Robert W. (Robert William)"
"Douglas, Charles L."
"Goldsmith, Lewis"
"Burgon, John William"
"King, Philip Parker"
"Hollingworth, Leta Stetter"
"Woodson, Carter Godwin"
"Various"
"St. Paul, Mother"
"Association of the Miraculous Medal"
"Lanzi, Luigi"
"Stratemeyer, Edward"
"Chapman, Allen"
"Goldsmith, Lewis"
"Boone, Silas K."
"Goldenberg, Samuel L."
"De Morgan, Mary"
"Nesbit, E. (Edith)"
"Finley, Martha"
"Goldsmith, Lewis"
"Futrelle, Jacques"
"Trotsky, Leon"
"Frey, Hildegard G."
"Abney, William de Wiveleslie, Sir"
"Weyman, Stanley John"
"Weyman, Stanley John"
"Goldsmith, Lewis"
"Weyman, Stanley John"
"Unknown Author"
"Stigand, Nancy Yulee (Neff)"
"Hardy, G. H. (Godfrey Harold)"
"Mears, James R."
"Miller, Thomas"
"Trollope, Frances Milton"
"Woolson, Constance Fenimore"
"Anonymous"
"Krol, Ed"
"Cranmer-Byng, L. (Launcelot)"
"Various"
"Unknown Author"
"Escott, T. H. S. (Thomas Hay Sweet)"
"Thomson, J. Arthur (John Arthur)"
"Jones, John P. (John Percival)"
"Conkling, Margaret C. (Margaret Cockburn)"
"Duncker, Max"
"González de Mendoza, Juan"
"Rousseau, Jean-Jacques"
"Martínez de Zúñiga, Joaquín"
"Ward, H. Marshall (Harry Marshall)"
"Bolton, Sarah Knowles"
"Mudge, Zachariah Atwell"
"Hurlbut, Jesse Lyman"
"Sellon, Edward"
"Planck, Max"
"Oppenheim, E. Phillips (Edward Phillips)"
"Bindloss, Harold"
"Rousseau, Jean-Jacques"
"Duffield, J. W."
"Hungerford, Edward"
"Lobingier, Elizabeth Miller"
"Liebknecht, Karl Paul August Friedrich"
"Unknown Author"
"Pennell, Joseph"
"Martínez de Zúñiga, Joaquín"
"Unknown Author"
"Various"
"Rousseau, Jean-Jacques"
"Hibbert, Francis Aiden"
"Johnston, Annie F. (Annie Fellows)"
"Low, David Allan"
"O'Malley, Austin"
"Fuller, Margaret"
"Erasmus, Desiderius"
"Rousseau, Jean-Jacques"
"Anonymous"
"De Morgan, Augustus"
"Wharton, Edith"
"Tissot, S. A. D. (Samuel Auguste David)"
"Anstey, F."
"Molesworth, Mrs."
"Jókai, Mór"
"Earle, Alice Morse"
"Rousseau, Jean-Jacques"
"Chapman, Allen"
"Chapman, Allen"
"Holbach, Paul Henri Thiry, baron d'"
"Bottone, Selimo Romeo"
"Alvarez de Abreu, Antonio"
"Hetherington, H. (Henry)"
"Titus, Harold"
"Rousseau, Jean-Jacques"
"O'Keeffe, John"
"Strang, Herbert"
"Blasco Ibáñez, Vicente"
"Penrose, Margaret"
"Hegel, Georg Wilhelm Friedrich"
"Hyde, William De Witt"
"Aitken, Robert"
"Woolson, Constance Fenimore"
"Faris, John T. (John Thomson)"
"Rousseau, Jean-Jacques"
"Tischner, August"
"Broun, Heywood"
"Millingen, J. G. (John Gideon)"
"Brown, Margaret Wright"
"Various"
"Various"
"Odum, Howard Washington"
"Unknown Author"
"Rousseau, Jean-Jacques"
"Sargent, Lucius M. (Lucius Manlius)"
"Wells, Carolyn"
"Knight, E. F. (Edward Frederick)"
"Mears, James R."
"Peck, Harry Thurston"
"Panizzi, Anthony, Sir"
"De Morgan, Augustus"
"Jackson, William Henry"
"Rousseau, Jean-Jacques"
"Johnston, Annie F. (Annie Fellows)"
"Various"
"Glover, T. R. (Terrot Reaveley)"
"Schindler, Anton"
"Webster, Frank V."
"Cloud, D. C."
"Brady, Cyrus Townsend"
"Unknown Author"
"Unknown Author"
"Rousseau, Jean-Jacques"
"Norway, Arthur H. (Arthur Hamilton)"
"Braden, James A. (James Andrew)"
"Kilmer, Joyce"
"Stanton, Henry B. (Henry Brewster)"
"Cooper, Thomas"
"Curtin, Jeremiah"
"Greely, A. W. (Adolphus Washington)"
"Spears, John Randolph"
"Rousseau, Jean-Jacques"
"Unknown Author"
"Farjeon, B. L. (Benjamin Leopold)"
"Hoare, Edward"
"Doesticks, Q. K. Philander"
"Cobbold, Richard"
"Huneker, James"
"Besant, Annie"
"Foote, G. W. (George William)"
"Rousseau, Jean-Jacques"
"Foote, G. W. (George William)"
"Burr, William Henry"
"Unknown Author"
"Holyoake, George Jacob"
"Foote, G. W. (George William)"
"Anderson, Marilyn D."
"Various"
"MacKenzie, Compton"
"Unknown Author"
"Rousseau, Jean-Jacques"
"Duncan, Norman"
"Peabody, Josephine Preston"
"Young, William"
"Hugo, Victor"
"MacGrath, Harold"
"Various"
"Weyman, Stanley John"
"Weyman, Stanley John"
"Weyman, Stanley John"
"Cunningham, Francis"
"Ohnet, Georges"
"Gabel, Norman E."
"Bedini, Silvio A."
"Todd, David P. (David Peck)"
"Maugham, W. Somerset (William Somerset)"
"Straus, Oscar S. (Oscar Solomon)"
"Vivanti, Annie"
"Hiden, Martha W. (Martha Woodroof)"
"Crain, Dorothy"
"Ohnet, Georges"
"Strang, Herbert"
"Strang, Herbert"
"Williams, Robert"
"McMurry, Charles A. (Charles Alexander)"
"Williams, Cora May"
"Unknown Author"
"Hamilton, Ernest, Lord"
"Baum, L. Frank (Lyman Frank)"
"Ohnet, Georges"
"Unknown Author"
"Strang, Herbert"
"Wells, H. G. (Herbert George)"
"Dalton, William"
"Durrant, Stephen David"
"Cahan, Abraham"
"Molesworth, Mrs."
"Weyman, Stanley John"
"Unknown Author"
"Ohnet, Georges"
"Woolson, Constance Fenimore"
"Hay, Ian"
"Lee, Eliza Buckminster"
"Barrie, J. M. (James Matthew)"
"Willis, Nathaniel Parker"
"Ohnet, Georges"
"Lindley, Augustus F."
"Unknown Author"
"Gilson, Charles"
"Aesop"
"Boynton, Edward C. (Edward Carlisle)"
"France, Anatole"
"Various"
"Wood, Henry, Mrs."
"Wood, Henry, Mrs."
"Werner, E."
"Westervelt, W. D. (William Drake)"
"Findlay, George G. (George Gillanders)"
"Various"
"Bill o'th' Hoylus End"
"Boyd, Mary Stuart"
"Tasso, Torquato"
"France, Anatole"
"Lanier, Sidney"
"Chambers, F. W."
"Barrie, J. M. (James Matthew)"
"Lincoln, Abraham"
"Jennings, Robert"
"Kellogg, Vernon L. (Vernon Lyman)"
"Cooper, James Fenimore"
"France, Anatole"
"Ingersoll, Ernest"
"Hofmann, Josef"
"Marryat, Florence"
"Weyman, Stanley John"
"Weyman, Stanley John"
"Weyman, Stanley John"
"Weyman, Stanley John"
"Hocking, Joseph"
"McCarty, Louis Philippe"
"France, Anatole"
"Macgeorge, Andrew"
"Villa Ramírez, Bernardo"
"St. Paul, Mother"
"Rose, Joshua"
"Unknown Author"
"Unknown Author"
"Anonymous"
"Bedford-Jones, H. (Henry)"
"Droz, Gustave"
"Argentina. Ministerio de Agricultura"
"Johnston, Annie F. (Annie Fellows)"
"Various"
"Various"
"Harper, Charles G. (Charles George)"
"Williams, Leslie, Mrs."
"Various"
"Micheaux, Oscar"
"Micheaux, Oscar"
"Droz, Gustave"
"Oliver, Margaret Scott"
"Dodge, Theodore Ayrault"
"Kennedy, John Pendleton"
"O'Reilly, Elizabeth Boyle"
"Kellogg, Vernon L. (Vernon Lyman)"
"Fletcher, John"
"Droz, Gustave"
"Guerber, H. A. (Hélène Adeline)"
"Hichens, Robert"
"Parkman, Francis"
"Gilson, Charles"
"Gilson, Charles"
"Engels, Friedrich"
"Kishpaugh, Robert A."
"Bowditch, Charles P. (Charles Pickering)"
"Droz, Gustave"
"Stewart, George"
"Duffield, J. W."
"Gore, J. Ellard (John Ellard)"
"Wildridge, T. Tindall (Thomas Tindall)"
"Wilmot-Buxton, H. J. (Harry John)"
"Bradlaugh, Charles"
"Daunou, P. C. F. (Pierre Claude François)"
"Westbrook, Richard B. (Richard Brodhead)"
"Hazlitt, William"
"Claretie, Jules"
"Sterne, Laurence"
"Hoare, Edward"
"Martin, Thomas Commerford"
"Lecky, William Edward Hartpole"
"Morgan, Louisa"
"Riley, Charles V. (Charles Valentine)"
"Unknown Author"
"Flammarion, Camille"
"Claretie, Jules"
"Everett, Marshall"
"Unknown Author"
"Willard, J. H. (James Hartwell)"
"Ruskin, John"
"Bardsley, Charles Wareing Endell"
"Surtees, Scott F. (Scott Frederick)"
"Howard, Frank"
"Bacon, Benjamin Wisner"
"Claretie, Jules"
"Hoare, Edward"
"Bray, Reginald Arthur"
"Stearns, Wallace N. (Wallace Nelson)"
"Hartley, Cecil B."
"Weyman, Stanley John"
"Weyman, Stanley John"
"Weyman, Stanley John"
"Weyman, Stanley John"
"McCarthy, Justin"
"Stacpoole, H. De Vere (Henry De Vere)"
"Claretie, Jules"
"Thorndike, Edward L. (Edward Lee)"
"Casanova, Giacomo"
"Casanova, Giacomo"
"Casanova, Giacomo"
"Casanova, Giacomo"
"Casanova, Giacomo"
"Casanova, Giacomo"
"Hoare, Edward"
"Hare, Augustus J. C. (Augustus John Cuthbert)"
"Alexander, Archibald"
"Massa, Philippe, marquis de"
"Bowditch, Charles P. (Charles Pickering)"
"Hoare, Edward"
"Various"
"Stark, James Henry"
"Adam, Paul"
"Massa, Philippe, marquis de"
"Walker, Charles Edward"
"Willoughby, Howard"
"Taggart, Marion Ames"
"Nesbit, E. (Edith)"
"Cobbold, Richard"
"Baldwin Locomotive Works"
"Massa, Philippe, marquis de"
"Price, Lucien"
"Various"
"Goodrich, Samuel G. (Samuel Griswold)"
"Denny, Emily Inez"
"Various"
"Terhune, Albert Payson"
"Massa, Philippe, marquis de"
"Crockett, S. R. (Samuel Rutherford)"
"Whymper, Frederick"
"Whymper, Frederick"
"Whymper, Frederick"
"Unknown Author"
"Veley, Margaret"
"Brown, George William"
"Parton, James"
"Hamilton, A. (Angus)"
"Bindloss, Harold"
"Theuriet, André"
"Various"
"Various"
"Linebarger, Paul Myron Anthony"
"Scholl, Ernest E. (Ernest Emmett)"
"Crane, Walter"
"Newby, C. J., Mrs."
"Theuriet, André"
"Maning, Frederick Edward"
"Various"
"MacKenzie, Compton"
"Reynolds, Baillie, Mrs."
"Various"
"Headley, Joel Tyler"
"Headley, Joel Tyler"
"Theuriet, André"
"Reynolds, John, of Vermont"
"Offen, Benjamin"
"Alvarez, Ticul"
"Gray, Andrew"
"Henty, G. A. (George Alfred)"
"Molesworth, Mrs."
"James, G. P. R. (George Payne Rainsford)"
"Wood, Henry, Mrs."
"Huxley, Aldous"
"Anonymous"
"Theuriet, André"
"Bolton, Sarah Knowles"
"Various"
"Barry, John D. (John Daniel)"
"Mendelssohn-Bartholdy, Felix"
"Johnston, Annie F. (Annie Fellows)"
"Gilson, Charles"
"Lyman, William Denison"
"Musset, Alfred de"
"Lytton, Henry A."
"Various"
"Blaikie, William Garden"
"Dods, Marcus"
"Martin, Edwin Perry"
"Gautier, Théophile"
"Cromwell, John Howard"
"Gilson, Charles"
"Gaskell, Elizabeth Cleghorn"
"Musset, Alfred de"
"Bartlett, Paul Alexander"
"Aimard, Gustave"
"Zweig, Stefan"
"Goolrick, John T. (John Tackett)"
"Townsend, John Wilson"
"Townsend, John Wilson"
"Gerould, Gordon Hall"
"Musset, Alfred de"
"James, G. P. R. (George Payne Rainsford)"
"James, G. P. R. (George Payne Rainsford)"
"James, G. P. R. (George Payne Rainsford)"
"Anonymous"
"Great Britain. Court to investigate loss of steamship "Titanic""
"Rothschild, Max"
"Hocking, Silas K. (Silas Kitto)"
"Musset, Alfred de"
"Various"
"Howard-Bury, Charles"
"MacKenzie, Compton"
"Gray, Asa"
"Various"
"Reeve, Sophia"
"Scott, Eva"
"Turgenev, Ivan Sergeevich"
"Fiech, Saint, Bishop of Sletty, active 6th century"
"Feuillet, Octave"
"Pollard, Josephine"
"Tracy, Louis"
"Standish, Burt L."
"Matthews, Brander"
"Various"
"Various"
"Various"
"Unknown Author"
"Feuillet, Octave"
"Unknown Author"
"Unknown Author"
"Atherton, Gertrude Franklin Horn"
"Hoffmann, Professor"
"More, Paul Elmer"
"Hodson, W. S. R. (William Stephen Raikes)"
"Feuillet, Octave"
"Lea, Henry Charles"
"Bunyan, John"
"Bindloss, Harold"
"Thorpe, Fred"
"Mangasarian, M. M. (Mangasar Mugurditch)"
"Hopkins, William John"
"Lichnowsky, Karl Max, Fürst von"
"Lea, Henry Charles"
"Various"
"Feuillet, Octave"
"Roe, A. S. (Azel Stevens)"
"Hume-Griffith, M. E."
"Macmillan &  Co."
"Victor, Frances Fuller"
"Longstreth, Thomas Morris"
"Bartlett, Paul Alexander"
"Bartlett, Paul Alexander"
"Vigny, Alfred de"
"Henty, G. A. (George Alfred)"
"Swainson, William"
"Swainson, William"
"Tomlinson, Everett T. (Everett Titsworth)"
"Field, Henry M. (Henry Martyn)"
"Rede, Geraldine"
"Swainson, William"
"Anonymous"
"Coolidge, Asenath Carver"
"Vigny, Alfred de"
"Onions, Oliver"
"McKeever, William A. (William Arch)"
"Bonner, Mary Graham"
"Crowe, Catherine"
"Macgowan, J. (John)"
"Erasmus, Desiderius"
"Westerman, Percy F. (Percy Francis)"
"Westerman, Percy F. (Percy Francis)"
"Vigny, Alfred de"
"Westerman, Percy F. (Percy Francis)"
"Unknown Author"
"Queensland"
"Unknown Author"
"Bartlett, W. C. (William Chauncey)"
"Ayscough, John"
"Moore, Edward"
"Bunyan, John"
"Vigny, Alfred de"
"Russell, Thomas O’Neill"
"O'Donoghue, Power, Mrs."
"Bowker, R. R. (Richard Rogers)"
"Various"
"Various"
"Various"
"Mach, Ernst"
"Webb, James Morris"
"Vigny, Alfred de"
"Leuba, James H. (James Henry)"
"Unknown Author"
"Maxwell, W. B. (William Babington)"
"Sinclair, Upton"
"Various"
"Roy, Lillian Elizabeth"
"James, G. P. R. (George Payne Rainsford)"
"Vigny, Alfred de"
"James, G. P. R. (George Payne Rainsford)"
"Various"
"Davis, Richard Harding"
"Ben Ibrahim, Sliman"
"Godley, A. D. (Alfred Denis)"
"Clodd, Edward"
"MacKenzie, Compton"
"Harner, Michael J."
"Vigny, Alfred de"
"James, G. P. R. (George Payne Rainsford)"
"Unknown Author"
"Lecky, William Edward Hartpole"
"Power, Eileen"
