author
Jefferson, Thomas
Egleston, Nathaniel Hillyer
Muirhead, James F. (James Fullarton)
Petrarca, Francesco
Muir, Ward
Goodridge Roberts, Theodore
Trent, Martha
Montagu, Mrs. (Elizabeth)
Durivage, Francis A. (Francis Alexander)
Jewel, John
Egerton, Beatrice
Chalmers, James
Lucka, Emil
Marguerite, Queen, consort of Henry II, King of Navarre
Elger, Thomas Gwyn
Firkins, Ina Ten Eyck
Seignobos, Charles
R. H. (Robert Howlett)
Adam, Juliette
Smith, Watson
Sullivan, J. W. (James William)
Mactear, James
Walker, William Sidney
International Meridian Conference (1884 : Washington, D.C.)
Hervé, Francis
Pinkerton, Allan
Gregory, W. B. (William Benjamin)
Klapp, Eugene
Chisholm, Cecil
Nash, Thomas
Kirkwood, Edith Brown
Traveling Engineers' Association
Tynan, Katharine
Austen-Leigh, James Edward
Vignoli, Tito
Ormsbee, Renee Richmond Huntley
Floyd, Thomas Hope
Sully, James
Duff Gordon, Lucie, Lady
Delaney, Lucy A. (Lucy Ann)
Bruce, Wallace
Old Elizabeth
Thompson, L. S. (Lucy S.)
Farrow, G. E. (George Edward)
Upham, Charles Wentworth
Benson, Edwin
Prince, Mary
Merrill, Jason L.
Halsey, Rosalie Vrylina
Mitchell, Donald Grant
Barker, B. (Benjamin)
Burton, Annie L.
Piper, H. Beam
Drumgoold, Kate
Drayton, Michael
Allen, William G., active 1849-1853
Koebel, W. H. (William Henry)
Irvine, Alexander
Davy, Humphry, Sir
Turpin, Edna Henry Lee
Hotman, François
Godley, A. D. (Alfred Denis)
Sloane, Julia M.
White, Ramy Allison
Leeds, Arthur
Williamson, Robert Wood
Babcock, Retta
Green, J. H. (Jonathan Harrington)
Fine, Henry B. (Henry Burchard)
Thomson, Alexis
Palgrave, Francis Turner
MacRitchie, David
Remy, Arthur F. J.
Osler, Edward
Gibbon, Perceval
Jacob, Violet
Newcomb, Harvey
Bitmead, Richard
Hensley, Sophia Margaretta
Holmes, John Haynes
Ward, Wilfrid, Mrs.
Abrams, Alex. St. Clair (Alexander St. Clair)
Grey of Fallodon, Edward Grey, Viscount
Longinus, active 1st century
Carr, Terry Gene
Charlotte Elizabeth
Ollivant, Alfred
Vorhies, Charles Taylor
Davidson, Halsey
Guyot, Yves
Smyth, William J.
Crosse, Andrew F.
Carnegie, Andrew
Jerrold, Walter
Morgan, J. H. (John Hartman)
Appleton, Victor, II
Holmes, Prescott
Fewkes, Jesse Walter
Haldane, R. B. Haldane (Richard Burdon Haldane), Viscount
Coghill, Harry, Mrs.
Hovey, Richard
Bowling, Edward Woodley
Ogilvy, Maud
Temple, E. B.
Schellhas, Paul
Brazil, Angela
Wharton, Philip
Giles, Herbert Allen
Seawell, Molly Elliot
Nursey, Walter R.
Maxwell, Donald
Laut, Agnes C.
Axtell, Edward
Skrine, John Huntley
Lamprey, Louise
Fresenborg, Bernard
Anwyl, E. (Edward)
Palmer, John
Edwards, William H. (William Hanford)
Bishopp, F. C. (Fred Corry)
Colter, J. J., Mrs.
Higgin, L.
Silberrad, Una Lucy
Maclaren, Ian
Noble, Alfred
Booth, Robert B.
Stidger, William L. (William Le Roy)
Nathan, Robert
Blackburn, Henry
Whately, Richard
White, Grace Miller
Apperson, George Latimer
Hoodless, Adelaide
Crawford, David Lindsay, Earl of
Perathoner, Marcello
Allinson, Anne C. E. (Anne Crosby Emery)
Kelman, John
Schmucker, S. S. (Samuel Simon)
Ségur, Philippe-Paul, comte de
Bordeaux, Henry
Williams, Lida Myrtle
Hutton, Richard Holt
Barron, Clarence W. (Clarence Walker)
Townsend, George Alfred
Mountevans, Edward Ratcliffe Garth Russell Evans, baron
Talbot, Frederick Arthur Ambrose
Smith, Alexander
Morgan, William
Kobbé, Gustav
Goodwin, Harold L. (Harold Leland)
Biggers, Earl Derr
Armour, Rebecca Agatha
Nicolay, Helen
Aimwell, Walter
Ogden, Ruth
Czernin von und zu Chudenitz, Ottokar Theobald Otto Maria, Graf
Mackay, Constance D'Arcy
Glass, Montague
Hapgood, Isabel Florence
Naville, Ernest
Frings, Math Josef
Sheldon, Charles M.
Moorman, F. W. (Frederic William)
Lazell, Frederick John
Dupont, Marcel
Henshaw, Henry W. (Henry Wetherbee)
Hunting, Harold B. (Harold Bruce)
Nietzsche, Friedrich Wilhelm
Weschcke, Carl
Lightfoot, J. B. (Joseph Barber)
Olcott, Henry Steel
Seward, William Henry
Withington, William
Nankivell, Edward J. (Edward James)
Addison, Julia de Wolf Gibbs
Carter, Jesse Benedict
Raymond, Charles W.
Marks, Jeannette Augustus
Dewar, Douglas
Croker, B. M. (Bithia Mary)
Samuelson, James
Machar, Agnes Maule
D'Ooge, Benjamin L. (Benjamin Leonard)
Tompkins, Herbert W. (Herbert Winckworth)
Potts, Thomas, active 1612-1618
Morris, Mowbray
Hadley, Caroline
Moldeven, Meyer
Pascal, Blaise
Capel, T. J. (Thomas John)
Trumbull, J. Hammond (James Hammond)
Cobb, Thomas
Elliott, Walter
Moore, Aubertine Woodward
Dutta, R. N.
Mason, Mary Murdoch
Grant, Reginald
Cleveland, Cecilia Pauline
Garnett, Thomas
Sturla Þórðarson
L'Estrange, A. G. K. (Alfred Guy Kingan)
Street, Julian
Kelly, Florence Finch
Bandelier, Adolph Francis Alphonse
Groner, Auguste
Calkins, Gary N. (Gary Nathan)
Stokes, John H. (John Hinchman)
Eddy, Sherwood
Patton, William
Ewell, Martha Lewis Beckwith
Carnegie Library of Pittsburgh
Fabre, Jean-Henri
Curtis, Charles A. (Charles Albert)
Ammyeetis
Macnaughtan, S. (Sarah)
Civiale Remedial Agency
Gwatkin, Henry Melvill
Daly, George Thomas
Charnwood, Godfrey Rathbone Benson, Baron
Lawson, John
Marcosson, Isaac Frederick
Spooner, Shearjashub
Harrison, Frederic
Cameron, H. Lovett, Mrs.
Neilson, William Allan
Wolf, Emma
Bean, C. E. W. (Charles Edwin Woodrow)
Pengilly, Mary Huestis
Spillman, Joseph
Clarke, George C.
Yates, Katherine M. (Katherine Merritte)
Torbett, D.
Hueston, Ethel
Foote, Samuel
Alexander, Mrs.
Kilpatrick, Florence A. (Florence Antoinette)
Serviss, Garrett Putman
Fowler, Arthur L.
Abbott, Keene
Estes, Rufus
Glasgow, G. R. (Geraldine Robertson)
Stapleton, John H. (John Henry)
Wright, John Dutton
Ascham, Roger
Read, Carveth
Laughlin, Burren
Brown, Theron
Murger, Henri
Wilson, Herbert M. (Herbert Michael)
Corelli, Marie
Dallas, Ellen M.
Colonna, Francesco
Virgil
Pierce, Ray Vaughn
Ogilvie, D. Douglas
McNeill, John Charles
Crébillon, Claude Prosper Jolyot de
Pyle, William Henry
Gleig, G. R. (George Robert)
Fleming, William
Lauzanne, Stéphane
Nourse, Alan Edward
Paullin, Theodore
Heming, Arthur
Blake, Emily Calvin
Spicer, William Ambrose
Clarke, Edward H. (Edward Hammond)
Burton, Richard Francis, Sir
Brown, Charles Brockden
Goff, George Paul
Spedon, Andrew Learmont
Pordage, Samuel
Lytton, Edward Robert Bulwer Lytton, Earl of
Rockwell, Carey
Laing, S. (Samuel)
Beard, Adelia B. (Adelia Belle)
United States. Federal Emergency Management Agency
Beck, L. Adams (Lily Adams)
McLaren, Eva Shaw
Birt, William Radcliff
Smith, Dama Margaret
Mercer, John Edward
Eddy, T. M. (Thomas Mears)
Slocum, Joshua
Pearce, Charles Edward
Jacobs, Charles M. (Charles Mattathias)
Adams, F. Colburn (Francis Colburn)
Latané, John Holladay
Saderra Masó, Miguel
Hutchinson, Woods
Shaler, Nathaniel Southgate
Bailey, Cyril
Stedman, Fabian
Voltaire
Urann, Clara A.
Stoddard, Richard Henry
Chard, Thomas S.
McIntyre, Margaret A.
Savage, Minot J. (Minot Judson)
Thomas, Edward
Massachusetts Homoeopathic Medical Society
Cassiodorus, Senator
Marshall, John
Coffin, Joshua
Smith, George O. (George Oliver)
Sumner, William Graham
Garvan, John M.
Redner, Lewis
Mendelssohn-Bartholdy, Felix
Lewis, Elizabeth
Coppens, Charles
Gordy, Wilbur F. (Wilbur Fisk)
Daudet, Alphonse
Birdsall, Ralph
Eggleston, George Cary
Manly, John Matthews
Trotter, Isabella Strange
Birkenhead, Frederick Edwin Smith, Earl of
Effinger, John R. (John Robert)
Rosse, Irving C. (Irving Collins)
Kelly, R. Talbot (Robert Talbot)
Walsh, George E.
Cory, David
Gunnison, Charles A.
Wilson, S. J.
Hinkle, Thomas C. (Thomas Clark)
Omond, George W. T. (George William Thomson)
Stringer, Arthur
Pitman, Norman Hinsdale
Barker, Joseph
Rock, Charles
Allen, E. T. (Edward Tyson)
Means, Florence Crannell
England and Wales. Sovereign (1558-1603 : Elizabeth I)
Brown, William Perry
Acton, John Emerich Edward Dalberg Acton, Baron
Hopkins, Herbert M. (Herbert Müller)
Stevenson, James
Ward, Maisie
Dunbar-Nelson, Alice Moore
Brace, James H.
Brooks, Maria Gowen
Licquet, Théodore
Lennes, N. J. (Nels Johann)
Tabor, Alta
Gibson, Wilfrid Wilson
Randolph, B. S. (Beverly S.)
Kempkey, A.
Beringer, C. (Cornelius)
La Motte-Fouqué, Friedrich Heinrich Karl, Freiherr de
Hilker, Leafy Jane Corrington
Beazley, C. Raymond (Charles Raymond)
Raine, Allen
Faulkner, Thomas A.
Aris, Ernest A. (Ernest Alfred)
Meakin, Budgett
Shelton, W. H. (William Henry)
Haney, John Louis
Del Rey, Lester
Francis, Samuel W. (Samuel Ward)
Byerley, Lucy
Walters, Francis M. (Francis Marion)
Lee, Sidney, Sir
Sabatier, Paul
Rittenberg, Max
Molloy, J. Fitzgerald (Joseph Fitzgerald)
Morley, Margaret Warner
Bassnett, Thomas
De Wet, Christiaan Rudolf
Bensel, J. A. (John Anderson)
Wynne, Arnold
Reynolds, Katharine Yirsa
Lansdown, Henry Venn
Watson, Sidney
Edwards, Eliezer
Frost, William Henry
Young, Edward
Bab, `Ali Muhammad Shirazi
Evans, Larry
Sue, Eugène
Whitehead, Alfred North
Fiske, James
Venable, William Henry
Constable, Henry
Porter, Mary F.
Mockler, Geraldine
Morison, James Cotter
Newnham-Davis, Lieut.-Col. (Nathaniel)
Evarts, Hal G. (Hal George)
Winter, William
Waugh, Alec
Catullus, Gaius Valerius
United States. Council of National Defense. Highways Transport Committee
Smith, Preserved
Punshon, E. R. (Ernest Robertson)
Hines, Bob
Sedgwick, Anne Douglas
Blanchan, Neltje
Pedley, Ethel C.
Gardener, Helen H. (Helen Hamilton)
Langdon, Stephen
Van Dyke, John Charles
Bassett, Sara Ware
Higgins, Emily Mayer
Wilson, Edmund B. (Edmund Beecher)
Wood, J. G. (John George)
Bowles, William Lisle
Anderson, Rufus
Fowke, Gerard
New Zealand. Committee of Inquiry into Mental Defectives and Sexual Offenders
Kronheim, Joseph Martin
Elton, Charles Isaac
Stokes, Roy Eliot
Paine, Ralph Delahaye
Snorri Sturluson
Dewey, Orville
Barlow, Jane
Townsend, Mary Ashley
Gibson, Hugh
O'Reilly, John Boyle
Lubbock, Percy
O'Brien, Jack
Marcin, Max
Lespérance, John
Myrtle, Harriet
Hands, A. F. Morris
Thomas, Cyrus
Peary, Robert E. (Robert Edwin)
Mathews, R. H. (Robert Hamilton)
Bose, Jagadis Chandra
Combe, William
Nordau, Max Simon
Montgomery, Frances Trego
Beamish, Richard Joseph
Newberry, Fannie E. (Fannie Ellsworth)
Snell, F. J. (Frederick John)
Whitney, Helen Hay
Gregory, James John Howard
Brady, Jasper Ewing
Jepson, Edgar
Shorter, Clement King
Bancroft, Edith
Mitchell, Edmund
Robertson, W. G. Aitchison (William George Aitchison )
United States. Federal Bureau of Investigation
Blanchard, Amy Ella
Weygandt, Cornelius
Cotton, William, F.S.A., of Exeter
Accum, Friedrich Christian
Collier, Price
Mason, Francis
Kilner, Dorothy
Foote, John Taintor
Allen, Glover M. (Glover Morrill)
Grenfell, Wilfred Thomason, Sir
Newton, Joseph Fort
Fielding, Sarah
Atkins, Gaius Glenn
O'Neill, Elizabeth (Elizabeth Speakman)
Willard, Emma
Boutwell, George S. (George Sewall)
Abbott, Jane
United States. Navy Department. Bureau of Ordnance
Dalton, Frank Eugen
Cummings, Ray
Grimm, Wilhelm
Norris, Zoé Anderson
Knapp, Arthur William
Lang, Mrs.
Alger, William Rounseville
Langford, Norman F.
Seward, A. C. (Albert Charles)
Horsford, Mary Gardiner
Miles, Clement A.
Wilkins, John
Webster, Nesta Helen
Howard, Hattie
Raphael, Rick
Bonner, Geraldine
Lehmann, Lilli
Cowan, Sam K. (Sam Kinkade)
Bloomfield, Maurice
Carson, James
Raemaekers, Louis
Hankins, Arthur Preston
Stevens, Frank
Gleason, Helen Hayes
Pearson, Edwin
Gregory, Charles Hutton
Leslie, Emma
Fillebrown, Thomas
Haring, Clarence Henry
Tytler, Sarah
MacGregor, William
Luther, Mark Lee
Mereto, Joseph J.
Bryant, Jacob
MacCauley, Clay
Arnold, Gertrude Weld
Becker, Bernard Henry
Walsh, J. M. (James Morgan)
Evarts, William Maxwell
Glueck, Bernard
Cripps, Arthur Shearly
Morrison, George Ernest
Stead, Robert J. C.
Miller, Kelly
Teresa, of Avila, Saint
Smith, Elwyn A. (Elwyn Allen)
Hodge, Charles
Miller, J. R. (James Russell)
Fitch, George
Grose, Howard B. (Howard Benjamin)
Kountz, William J.
Bernstein, Herman
Macfadden, Bernarr
Orton, James
Smollett, T. (Tobias)
Farr, Edward
Fitch, George Hamlin
Williams, Isabel Cecilia
Reeve, Arthur B. (Arthur Benjamin)
Boyton, Paul
Griffith, George Chetwynd
`Abdu'l-Bahá
Esslemont, J. E. (John Ebenezer)
Baha'i World Centre
Shoghi, Effendi
Universal House of Justice
Fitchett, W. H. (William Henry)
Connor, Ralph
Jackson, Chevalier
Labouchere, Henry
Bahá'í International Community
Cooper, Susan Fenimore
Chester, George Randolph
Hitchcock, Champion Ingraham
Sheridan, Richard Brinsley
Feild, Edward
Matthew, William Diller
Newcomb, Simon
Leopardi, Giacomo
Hamilton, Ian
Munn, William Augustus
Graebner, Theodore
Baikie, James
O'Mahony, John
Holroyd, Charles, Sir
Kennedy, Edmund John
Blake, William
Alpheus, A.
McIlwraith, Jean N. (Jean Newton)
Swinton, William
Fernie, William Thomas
Crosby, Ernest Howard
Goetschius, Percy
Victor, Frances Fuller
Cosens, Abner
Strunsky, Simeon
Bancroft, Elizabeth Davis
Johannsen, Anna Magdalena
Hoffman, Walter James
Sage, Michael
Penn, William
Pickthall, Marmaduke William
Thompson, Edward John
Pierson, Clara Dillingham
Stein, Evaleen
May, Carrie L.
Stanton, Frank Lebby
Hale, George Ellery
Hurst, J. F. (John Fletcher)
Oyen, Henry
Austin, Anne
Bowers, John Hugh
I. E. M.
Morton, Thomas
Kernahan, C.
Talbot, N. S. (Neville Stuart)
Campbell, Alexander
Clark, John Willis
Albee, John
Kingston, William Henry Giles
Johnston, R. M. (Robert Matteson)
Schmucker, B. M. (Beale Melanchthon)
Addleshaw, Percy
Mapes, Victor
Jeans, J. Stephen (James Stephen)
Hughes, Langston
Prouty, Olive Higgins
Kirby, W. F. (William Forsell)
Barhite, Jared
Pike, Albert
Harris, Joseph
Curtis, Edward S.
Grenfell, Anne
West, Mrs. (Jane)
Lawson, Alfred W. (Alfred William)
Clausewitz, Carl von
Lounsbury, Thomas Raynesford
Dorsey, James Owen
Waring, George E. (George Edwin)
Jarrett, Bede
McAnally, D. R. (David Russell)
Fisher, A. Hugh (Alfred Hugh)
Gildas
Clippinger, D. A. (David Alva)
Perkins, Thomas, Rev.
Grautoff, Ferdinand Heinrich
Gehrkens, Karl Wilson
Gilman, Charlotte Perkins
Mack, Isaac Alexander
Steele, Jack
Alverson, Margaret Blake
Milman, Henry Hart
Macomber, Hattie E.
Fowler, Frank
Hoar, George Frisbie
Preyer, William T.
Severy, Melvin L. (Melvin Linwood)
Sterndale, Robert Armitage
Gorham, J. C., Mrs.
Ellis, O. O. (Olin Oglesby)
Dee, John
Jarvis, Mary Rowles
Rosenfeld, Paul
Popenoe, Paul
Gosse, Philip
Patterson, Robert
Bigges, Walter
Chapin, E. H. (Edwin Hubbell)
Crane, Stephen
Hague, W. Grant (William Grant)
Burt, Nathaniel Clark
Fisher, Irving
MacDonald, John A. (John Alexander)
Waters, W. G. (William George)
Hodgkin, L. V. (Lucy Violet)
Clayton, Joseph
Harnack, Adolf von
Richmond, Legh
Sidney, Philip
McGee, W. J. (William John)
Quayle, William A. (William Alfred)
Harris, Joel Chandler
Anson, Adrian Constantine
Hall, James Norman
McMurry, Charles A. (Charles Alexander)
Evans, E. Everett (Edward Everett)
Bailey, Carolyn Sherwin
Cooper, Elizabeth
Mussey, R. D. (Reuben Dimond)
Durham, M. E. (Mary Edith)
Naylor, Edward W. (Edward Woodall)
Newman, John Henry
Lawrence, Eugene
Hall, Angelo
Schauffler, Robert Haven
Ayres, May
Greene, Sarah Pratt McLean
Fillmore, Parker
Quennell, C. H. B. (Charles Henry Bourne)
Nennius, active 796
Head, James H.
Bradley, Marion Zimmer
Herbert, Henry William
Bloxam, Matthew Holbeche
Martin, Gene Allen
Stevenson, Adlai E. (Adlai Ewing)
Willoughby, Barrett
Rowbotham, Francis Jameson
Brown, Peter Hume
Freytag, Gustav
Garland, Hamlin
Abbot, Francis Ellingwood
Todhunter, I. (Isaac)
Denslow, W. W. (William Wallace)
Field, Ellen Robena
New Zealand. National Library Service
Perdue, Mitzi
Fowler, Ellen Thorneycroft
Sharpe, Reginald R. (Reginald Robinson)
Fortescue, J. W. (John William), Sir
Stephen, Geo. A. (George Arthur)
Summerfield, John
Macduff, John R. (John Ross)
Taft, William H. (William Howard)
Rose, C. A.
Bruno, Giordano
Lock, H. O. (Henry Osmond)
Hare, Walter Ben
Moody, Dwight Lyman
Davis, Jefferson
Saleeby, C. W. (Caleb Williams)
Dixon, Royal
Crabb, James
Orton, George W.
May, E. J. (Edith J.)
Mindeleff, Victor
Scott, Frederick George
Bacon, Josephine Daskam
Bradley, John William
Thayer, William Makepeace
Nasmith, George G. (George Gallie)
Finnemore, John
Leighton, Marshall Ora
Mills, Wesley
Eley, C. King
Black, C. B.
Mulholland, Clara
Wurdz, Gideon
Fisher, Sydney George
Russell, William Clark
Grant, James, archaeologist
Barnfield, Richard
Wilde, Percival
Shaw, Thomas
Bigwood, Inez
Fraser, Chelsea Curtis
McSpadden, J. Walker (Joseph Walker)
United States. Congress. House. Committee on Science and Astronautics.
Davy (An Englishman)
Arbuthnot, F. F.
La Motte, Ellen N. (Ellen Newbold)
Hentzner, Paul
Andrews, William
Baker, Willard F.
Cluthe Rupture Institute
Herbert, Minie
Wilson, John
Bluett, Antony
Hayward, Rachel
De Benneville, James S. (James Seguin)
Henry, Stuart Oliver
Henderson, W. J. (William James)
Peacocke, Isabel M. (Isabel Maud)
Dye, Charles
Rucker, William Colby
Fitzgerald, Robert
Stephens, C. A. (Charles Asbury)
Zamin Ki Dost
Ward, John Montgomery
Pessoa, Fernando
Ashton, John
Duncan, Norman
Beech, Franklin
Ghusayn, Fa'iz
Huxley, Aldous
Jewell, F.
Allen, Lewis Falley
Trowbridge, J. T. (John Townsend)
United States
Project Gutenberg
Westmacott, C. M. (Charles Molloy)
Davis, Noah
Thompson, Charles Miner
Gladstone, William Henry
Bonnycastle, Richard Henry, Sir
D'Annunzio, Gabriele
Spender, Harold
McIntosh, Maria J. (Maria Jane)
Shute, Henry A. (Henry Augustus)
Victoria, Queen of Great Britain
Matthewman, Lisle de Vaux
Lewis, C. S. (Clive Staples)
Sherman, V. T.
United States Tariff Commission
Higgins, Charlotte M.
Yechton, Barbara
Munn, Charles Clark
Hodgkin, Thomas
Blaine, James Gillespie
Baldwin, May
Tetrazzini, Luisa
Hemenway, Hetty
Appleton, Everard Jack
Gasquoine, C. P. (Charles Penrhyn)
Smedley, Frank E. (Frank Edward)
Coolidge, Dane
Sands, George W.
Dyer, Gertrude P.
Stacpoole, H. De Vere (Henry De Vere)
Richards, Fred
Owen, Elias
Hunter, William Crosbie
Abbott, Edwin Abbott
Cooper, Courtney Ryley
Mann, Henry
Thomson, M. Pearson
Towne, Ellis
Fleming, Oliver
Chiniquy, Charles Paschal Telesphore
McGuire, John Joseph
Costello, Louisa Stuart
Lippmann, Walter
McNeil, Everett
Crofts, Freeman Wills
G. W.
Hornblow, Arthur
Wallin, Johan Olof
Scholten, Johannes Henricus
Morris, Elisabeth Woodbridge
Strohm, Rufus T. (Rufus Tracy)
Lewis, Harry A.
Hay, James
Campbell, John W., Jr. (John Wood)
Bremer, Fredrika
Bacon, Leonard Woolsey
Storey, G. A. (George Adolphus)
Robinson, Solon
Barham, G. Basil (George Basil)
Taylor, Robt. L. (Robert Love)
Dargan, Olive Tilford
Doyle, Edward
Mayne, Rutherford
Colman, George
Brant, Sebastian
Stevens, C. M. (Charles McClellan)
Afton, Effie
Arnold, Robert
MacMicking, Robert
Triemens, Joseph
Bygate, Joseph E.
Levett Yeats, S. (Sidney)
Feehan, Mary Edward
Brandt, Johanna
Fletcher, F. Morley (Frank Morley)
Blore, George Henry
Gaines, Miriam
Douglass, Frederick
Mant, Alicia Catherine
McMahan, Anna Benneson
Stanley, W.
Orpen, William, Sir
Walsh, James J. (James Joseph)
Kotzebue, August von
Sarmiento de Gamboa, Pedro
Osborne, Duffield
Leffingwell, Albert
Smoot, Dan
Whittier, John Greenleaf
Mitchell, Ruth Comfort
Van Cleve, Charlotte Ouisconsin Clark
Buchanan, James
Freeley, Mary Belle
Vitruvius Pollio
Francoeur, Jazno
Müller, George
Brooks, David Marshall
Great Britain. Army. Highland Light Infantry. Battalion, 5th
Quincy, Josiah
Clarke, Margaret Bruce
Roosevelt, Wyn
Niemann, August
Sitwell, Florence Alice
Haweis, H. R. (Hugh Reginald)
Molière
Korinek, Charles James
Colvin, Fred H. (Fred Herbert)
Hartley, C. Gasquoine (Catherine Gasquoine)
Cogger, Edward P.
Carr, E. Donald (Edmund Donald)
Howe, Reuel L.
Ellis, J. Breckenridge (John Breckenridge)
Poore, Benjamin Perley
Mathews, W. S. B. (William Smythe Babcock)
Sheehan, Patrick Augustine
Emerson, Nathaniel Bright
Pollard, A. F. (Albert Frederick)
Twiss, Richard
Nathan, George Jean
Kennedy, Sidney R. (Sidney Robinson)
Geikie, John Cunningham
Graetz, Anna
Leavitt, Elizabeth Davis
Hall, Eugene Edward
Farjeon, Eleanor
Hemyng, Bracebridge
Casas, Bartolomé de las
Durston, George
Reed, William Allan
Dickson, Harris
MacArthur, Ruth Brown
Curtis, Alice Turner
Spinners' Club
Thomson, Edward William
Sergeant, Philip Walsingham
Lemon, Mark
Coombe, Florence
Baker, Samuel White, Sir
Paine, Harriet E. (Harriet Eliza)
Howes, Edith
Babcock, Bernie
Dum-Dum
Garrison, Theodosia Pickering
Field, Al. G. (Alfred Griffith)
Ward, Fred W.
Coppée, François
Bedford, H. Louisa
Carson, Thomas
Harney, George S.
Brewster, Edith Gilman
Christie, Grace
Great Britain. Board of Trade. Railway Department
Lecky, William Edward Hartpole
Campbell, Douglas Houghton
Plomer, Henry Robert
Rose, Geoffrey Keith
James, Lionel
Beard, Charles
Brooke, Caris
Ker, W. P. (William Paton)
Murray, Margaret Alice
Warner, William
Thomson, J. Arthur (John Arthur)
Stead, W. T. (William Thomas)
Russell, E. S. (Edward Stuart)
Bartlett, Frederick Orin
Winnington Ingram, Arthur F. (Arthur Foley)
Carter, Herbert, active 1909-1917
Mavrogordato, John
Lutz, Alma
Shoemaker, Henry W.
Chamberlain, Lucia
Newman, John Philip
Ingersoll, Robert Green
Depew, Chauncey M. (Chauncey Mitchell)
Butler, Alban
FitzGerald, Edward
Marshall, Logan
Beatty, John
Bax, Ernest Belfort
Hentz, Caroline Lee
Tuttle, Edmund B. (Edmund Bostwick)
Butler, Joseph G. (Joseph Green)
Dame, Lorin Low
Bachman, William Elmer
Sidgwick, Frank
Morton, Agnes H.
Martin, Theodore, Sir
Cheiro
Manucy, Albert C.
Egan, Pierce
Brown, Alice
Joyce, John A. (John Alexander)
Scully, W. C. (William Charles)
Ruland, Wilhelm
Douglas, Alan, Captain
Hawkins, Walter
Marshall, J. (John)
United States. Department of the Interior
Sigourney, L. H. (Lydia Howard)
New York evening journal
Dwight, James
Pittenger, William
Woodcock, Henry
Baldwin, James Mark
Gardner, Ernest Arthur
Gaylord, Glance
Alma, Maude
Barrett, Charles Raymond
Weetman, W. C. C.
Smart, Hawley
Brownson, Orestes Augustus
Hurlothrumbo
Orzeszkowa, Eliza
Salmond, James Bell
Wilberforce, Samuel
Blyth, James
Mulets, Lenore Elizabeth
Dana, Richard Henry
Wilson, Robert H.
Holmes, Edmond
Packard, A. S. (Alpheus Spring)
Smith, George
Robinson, Forbes
Fern, Fanny
Thomson, Charles Goff
Rogers, Will
Bennett, Virginia
Peterson, Henry
Elson, Arthur
Audoux, Marguerite
Groome, Francis Hindes
Chappell, Clovis Gillham
Bennett, Charles H. (Charles Henry)
Byrne, Donn
Russell, R. V. (Robert Vane)
MacGregor, Morris J.
Finlay, Roger Thompson
Brown, Frank Chouteau
Beckford, William
Israëls, Jozef
Calhoun, A. R. (Alfred Rochefort)
Drummond, William Henry
Meredith, Ellis
Old scout
Wardle, Joseph
Lawrence, Josephine
Curnick, Edward T.
Speed, Nell
Wynne, Ellis
Tomlinson, Abraham
Antin, Mary
Turner, Frederick Jackson
Kelley, Ruth Edna
Spencer, Anna Garlin
Gregory, Mary Huston
Lawrence, D. H. (David Herbert)
McBride, Herbert W.
Sell, Edward
Field, Roswell Martin
Terman, Lewis M. (Lewis Madison)
Coppinger, Joseph
Dellenbaugh, Frederick Samuel
Punahou School
Ossendowski, Ferdynand Antoni
Stimpson, Herbert Baird
Pinches, Theophilus G. (Theophilus Goldridge)
Veblen, Thorstein
Service, Robert W. (Robert William)
MacQueen, James
Seely, Herman Gastrell
Hedin, Sven Anders
Sabin, Edwin L. (Edwin Legrand)
Ogden, George W. (George Washington)
Goldman, Emma
Douglas, Amanda M.
Dillaway, Charles K. (Charles Knapp)
Eales, Mary
Galt, Katherine Keene
Fontenay, Charles L.
Burckhardt, Jacob
Elwes, Alfred
Lockwood, Lewis C. (Lewis Conger)
Bancroft, Jane M. (Jane Marie)
Linnean Society of London
Smith, Edgar Fahs
Victor, Metta Victoria Fuller
Goldsmith, Milton
Jastrow, Morris
Doubleday, Abner
Manning, J. C.
Winslow, Anna Green
Moir, D. M. (David Macbeth)
Olcott, William Tyler
Burritt, M. C. (Maurice Chase)
Burkett, Charles William
Dillmont, Thérèse de
Smith, E. E. (Edward Elmer)
Butler, Joseph
Gregorovius, Ferdinand
Dilnot, Frank
Wyatt, G. E.
Hicklin, John
Graham, Frances W.
Partridge, G. E. (George Everett)
Walling, William English
Sadler, Lena K. (Lena Kellogg)
Mivart, St. George Jackson
Weaver, G. S. (George Sumner)
Lamothe-Langon, Etienne-Léon, baron de
Dunton, Edith K. (Edith Kellogg)
Jones, James Athearn
Oldfield, Reuben Bertram
White, Eliza Orne
Wright, Sewell Peaslee
Green, Thomas Hill
Noyes, William
McPherson, William
Holbrook, Florence
Fairman, Paul W.
Roscoe, William
Black, Hugh
Barnett, Evelyn Snead
Maitland, Julia Charlotte
Snyder, Harry
Stevens, John Austin
Van Bergen, R. (Robert)
Fergusson, Harvey
Chapman, George
Hughes, John
Davis, Calvin Olin
Cupples, George, Mrs.
Trench, Richard Chenevix
Roberts, Elizabeth Madox
Dillon, Mary (Mary C. Johnson)
Wallace, Edgar
Russel, Florence Kimball
Field, George
Husmann, George
Sheckley, Robert
Adams, Samuel
Hartley, Marsden
Henson, Matthew Alexander
Andrews, Elisha Benjamin
Cherágh Ali
Fremantle, Arthur James Lyon, Sir
Berens, Edward
Rathenau, Walther
Allardyce, Paul
Skeats, Wilfred S.
